fish_id,year,station,length,sex,gut_length,SP1,SP2,PS,plates,grn,grg,grl2,grl3
BK185087,2018,128,45,m,22,3.505,3.475,4.322,5,14,0.1133333,1.003333,0.918
BK185088,2018,128,64,f,49,3.601,3.921,6.57,4,10,0.1733333,1.325333,1.373667
BK185095,2018,128,54,f,12,3.663,3.588,4.229,5,10,0.226,1.263333,1.259
BK185106,2018,128,38,m,20,2.467,2.66,4.314,4,11,0.09833333,0.7226667,0.7683333
BK185107,2018,128,38,NA,15,2.656,3.263,4.069,4,NA,NA,NA,NA
BK185152,2018,128,57,m,31,2.931,3.125,4.582,5,13,0.197,1.372,1.473
BK185162,2018,128,55,f,30,2.912,3.185,4.585,5,12,0.2026667,1.116,1.061333
BK185163,2018,128,65,f,46,3.523,3.923,3.942,5,12,0.1796667,1.535,1.487
BK185189,2018,128,61,f,42,3.516,4.048,6.782,3,11,0.3176667,1.424333,1.476667
BK185222,2018,128,62,f,38,3.365,3.884,5.894,4,12,0.2073333,1.055333,1.048333
BK185224,2018,128,50,f,40,2.931,3.375,5.012,6,12,0.1746667,1.03,1.112333
BK185234,2018,128,50,m,27,2.826,2.998,4.556,6,15,0.144,0.992,1.154
BK185239,2018,128,58,f,34,3.955,4.266,6.156,5,15,0.2063333,1.190333,1.161667
BK185243,2018,128,55,NA,NA,3.673,3.569,4.05,5,11,0.1523333,1.313,1.265
BK185247,2018,128,55,m,33,3.246,3.269,5.283,5,14,0.1676667,1.438667,1.471667
BK185249,2018,128,58,m,35,3.35,3.519,5.869,6,10,0.2506667,1.379,1.414667
BK185253,2018,128,50,f,30,2.86,1.312,4.936,6,11,0.1546667,0.9206667,0.8633333
BK185261,2018,128,50,m,29,3.416,3.745,4.779,3,14,0.1583333,1.006667,1.108333
BK185275,2018,135,44,m,24,2.233,2.398,4.033,4,14,0.1723333,0.8563333,0.949
BK185277,2018,135,44,m,22,2.559,2.521,4.326,5,13,0.1743333,1.088667,1.074
BK185283,2018,135,43,f,35,NA,NA,NA,NA,NA,NA,NA,NA
BK185288,2018,135,43,m,25,2.225,2.187,3.822,5,12,0.1446667,0.9106667,0.8786667
BK185295,2018,135,58,f,38,3.262,3.346,5.062,5,9,0.1846667,1.096667,1.198
BK185308,2018,135,58,m,35,3.105,3.448,4.27,6,10,0.209,1.516333,1.484
BK185315,2018,135,46,m,30,2.696,3.059,5.103,6,13,0.1996667,1.157,1.246
BK185337,2018,135,42,m,19,3.227,3.174,5.037,4,13,0.1606667,1.065,1.075
BK185342,2018,135,40,f,22,2.465,2.661,4.089,4,15,0.09733333,0.7683333,0.7173333
BK185354,2018,135,39,m,20,2.795,3.223,4.472,6,14,0.1226667,0.7486667,0.759
BK185358,2018,135,41,m,20,2.99,3.182,4.648,5,13,0.1746667,0.751,0.8623333
BK185364,2018,135,44,f,22,2.59,2.877,4.906,5,NA,NA,NA,NA
BK185387,2018,135,44,m,20,3.083,2.893,4.813,5,13,0.1246667,1.04,1.134
BK185388,2018,135,37,m,16,2.947,2.864,4.004,4,13,0.1456667,0.658,0.7406667
BK185389,2018,135,41,m,22,2.807,2.753,3.183,4,13,0.1613333,1.019667,0.88
BK185391,2018,135,45,m,24,2.866,2.389,4.598,7,NA,NA,NA,NA
BK185415,2018,135,58,m,38,2.957,2.889,4.037,6,12,0.228,0.966,1.173333
BK185417,2018,135,48,f,34,3.479,3.523,5.432,7,13,0.1803333,1.308667,1.364667
BK185420,2018,135,43,f,25,3.097,3.368,4.671,5,11,0.1166667,0.9576667,0.9356667
BK185429,2018,135,45,m,17,2.761,2.855,4.969,4,10,0.1273333,1.149667,1.141
BK185430,2018,135,41,m,24,2.731,2.887,3.196,6,14,0.1286667,0.762,0.7893333
BK185442,2018,DN,52,m,33,2.717,3.16,4.26,6,14,0.169,1.352,1.347667
BK185495,2018,DN,58,f,35,3.014,3.142,5.4,4,13,0.185,1.018333,1.252333
BK185502,2018,DN,60,f,37,3.755,4.148,5.222,6,12,0.2493333,1.329667,1.230333
BK185523,2018,DN,63,f,50,3.639,3.932,5.901,6,13,0.2053333,1.468,1.424
BK185528,2018,DN,56,m,32,3.445,3.568,5.834,6,10,0.2066667,1.198333,1.248
BK185541,2018,DN,55,m,27,3.052,3.266,5.163,5,14,0.179,1.1,1.223
BK185560,2018,DN,64,f,45,3.402,3.334,4.991,5,12,0.217,1.364,1.435
BK185574,2018,DN,55,m,33,3.111,3.537,4.865,6,13,0.1726667,1.268333,1.282333
BK185579,2018,DN,53,f,24,3.206,3.613,5.324,4,14,0.16,1.062333,1.067
BK185582,2018,DN,61,m,40,3.34,3.858,7.309,5,NA,NA,NA,NA
BK185606,2018,DN,53,m,36,3.412,3.743,5.903,6,13,0.2043333,1.337667,1.361667
BK185617,2018,DN,53,f,15,3.124,3.464,4.603,4,NA,NA,NA,NA
BK185725,2018,DN,53,f,35,2.555,2.785,4.211,5,13,0.2313333,1.011667,1.048333
BK185728,2018,DN,55,f,27,3.786,3.944,5.741,6,NA,NA,NA,NA
BK185732,2018,DN,51,m,26,2.736,3.335,4.247,4,10,0.1316667,1.311,1.152333
